證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,漲跌幅
1101,台泥,7417903,4634,242932133,32.8,32.85,32.65,32.8,0.0,32.75,361,32.80,1,34.89,0.0
1101B,台泥乙特,8181,11,383718,46.9,46.9,46.9,46.9,0.0,46.80,3,46.95,5,0.0,0.0
1102,亞泥,4570082,3705,202004606,44.8,44.8,43.9,44.25,-0.45,44.25,1,44.30,18,14.0,-0.01
1103,嘉泥,255819,223,4572605,17.85,17.95,17.75,17.95,0.0,17.75,17,17.95,6,119.67,0.0
1104,環泥,658035,677,20213133,30.8,30.85,30.45,30.75,0.35,30.65,9,30.75,10,10.12,0.01
1108,幸福,516807,183,8362066,16.1,16.25,16.1,16.25,0.15,16.20,99,16.25,9,13.1,0.01
1109,信大,117555,110,2150248,18.2,18.35,18.2,18.35,0.0,18.30,1,18.35,33,9.66,0.0
1110,東泥,453877,273,10404534,22.8,23.25,22.6,23.05,0.25,22.90,6,23.05,9,96.04,0.01
1201,味全,863495,493,15546969,18.05,18.05,17.9,18.05,0.05,18.00,14,18.05,11,26.94,0.0
1203,味王,32033,53,1715746,54.1,54.1,52.7,53.9,1.2,53.90,2,54.00,5,24.17,0.02
1210,大成,867950,880,45246571,52.3,52.5,51.9,52.1,0.2,52.00,5,52.10,10,11.4,0.0
1213,大飲,132842,87,1639102,12.25,12.5,12.0,12.45,0.15,12.40,1,12.45,2,0.0,0.01
1215,卜蜂,238563,345,23543483,98.4,99.0,98.3,98.6,0.5,98.50,2,98.60,3,14.59,0.01
1216,統一,6951027,4238,564959057,81.1,81.7,80.8,81.7,1.1,81.50,57,81.70,169,24.98,0.01
1217,愛之味,874827,480,10435868,12.0,12.0,11.9,11.95,0.0,11.90,15,11.95,54,18.97,0.0
1218,泰山,759262,647,15849904,21.1,21.1,20.7,20.8,-0.3,20.80,5,20.85,8,13.87,-0.01
1219,福壽,212042,142,3655464,17.2,17.3,17.15,17.25,0.05,17.20,7,17.25,16,20.29,0.0
1220,台榮,1212688,635,20124922,16.25,16.85,16.2,16.75,0.5,16.75,28,16.80,55,12.79,0.03
1225,福懋油,122116,152,19436806,158.5,163.0,156.5,163.0,1.5,162.00,1,163.00,3,79.51,0.01
1227,佳格,353123,346,13511820,38.4,38.45,38.15,38.45,0.3,38.25,3,38.45,14,22.49,0.01
1229,聯華,665850,854,41037367,61.9,61.9,61.3,61.8,0.3,61.40,5,61.80,15,22.72,0.0
1231,聯華食,266377,694,28447267,109.5,109.5,106.0,107.5,-1.0,106.50,2,107.50,19,23.17,-0.01
1232,大統益,47502,100,6927435,145.5,146.0,145.5,146.0,0.5,145.50,1,146.00,8,17.87,0.0
1233,天仁,13102,18,422018,32.1,32.3,32.1,32.3,0.2,32.20,1,32.30,5,33.3,0.01
1234,黑松,120107,93,5085822,42.3,42.5,42.2,42.45,0.2,42.30,2,42.45,8,17.4,0.0
1235,興泰,28940,92,3731362,129.5,130.5,124.5,130.5,4.5,130.50,2,131.00,1,27.53,0.04
1236,宏亞,23950,87,574372,24.0,24.1,23.8,24.1,0.1,23.85,2,24.10,1,185.38,0.0
1256,鮮活果汁-KY,29751,101,4672967,157.0,159.0,154.5,157.0,1.0,157.00,1,160.00,1,12.65,0.01
1301,台塑,8561490,4951,444203934,51.7,52.2,51.3,52.0,0.3,52.00,18,52.10,292,61.9,0.01
1303,南亞,7872075,4502,361981879,45.55,46.35,45.5,46.0,0.15,46.00,13,46.05,37,48.94,0.0
1304,台聚,2342020,1244,34105311,14.5,14.7,14.45,14.6,-0.05,14.55,40,14.60,34,0.0,-0.0
1305,華夏,819157,570,13760165,16.75,16.95,16.7,16.85,0.05,16.80,10,16.85,6,56.17,0.0
1307,三芳,1137380,563,36917051,32.6,32.75,32.15,32.2,-0.35,32.20,14,32.25,10,11.38,-0.01
1308,亞聚,744496,573,13082947,17.65,17.75,17.4,17.55,0.0,17.50,9,17.55,18,0.0,0.0
1309,台達化,1475246,488,25357828,17.15,17.4,17.0,17.25,0.1,17.25,3,17.30,36,0.0,0.01
1310,台苯,423906,439,5505105,13.0,13.1,12.85,13.05,0.05,13.00,10,13.05,29,0.0,0.0
1312,國喬,2794112,1069,36965911,13.2,13.35,13.1,13.25,0.05,13.25,13,13.30,81,0.0,0.0
1312A,國喬特,1000,1,23450,23.45,23.45,23.45,23.45,0.0,23.40,5,23.50,3,0.0,0.0
1313,聯成,881163,619,10458023,11.75,12.0,11.7,11.9,0.15,11.85,16,11.90,6,0.0,0.01
1314,中石化,14030460,3874,137868909,9.76,9.92,9.7,9.85,0.09,9.84,86,9.85,96,30.78,0.01
1315,達新,18935,56,1374217,72.6,72.7,72.5,72.7,0.3,72.40,1,72.70,2,38.06,0.0
1316,上曜,11434013,4640,239004737,21.0,21.45,20.3,20.75,-0.25,20.75,105,20.80,4,0.0,-0.01
1319,東陽,2382968,2369,219995871,93.6,93.6,91.6,91.6,-2.1,91.60,41,91.70,22,13.61,-0.02
1321,大洋,1941950,1225,77490842,40.95,40.95,39.4,39.95,-0.75,39.90,9,39.95,4,38.05,-0.02
1323,永裕,62228,45,1848674,29.7,29.75,29.7,29.75,0.05,29.70,1,29.75,14,30.67,0.0
1324,地球,33656,59,437469,13.05,13.1,12.9,13.0,0.0,12.95,22,13.00,2,38.24,0.0
1325,恆大,247997,194,7125736,28.85,29.25,28.45,28.65,-0.35,28.65,8,28.70,3,318.33,-0.01
1326,台化,8372039,4320,367288040,43.8,44.1,43.65,43.95,-0.05,43.95,65,44.00,"1,823",23.38,-0.0
1337,再生-KY,409378,256,2886192,7.03,7.1,6.98,7.02,0.03,7.01,18,7.02,4,0.0,0.0
1338,廣華-KY,203409,178,6820077,33.15,33.75,33.15,33.55,0.0,33.50,1,33.55,7,0.0,0.0
1339,昭輝,295244,335,17181453,58.5,58.8,57.8,57.9,0.0,57.90,7,58.20,2,9.06,0.0
1340,勝悅-KY,145434,313,1445924,10.0,10.0,9.91,9.92,-0.04,9.92,2,9.94,1,0.0,-0.0
1341,富林-KY,7000,6,466600,66.8,66.8,66.6,66.6,0.6,66.50,1,66.90,1,14.64,0.01
1342,八貫,53488,117,4943110,92.2,92.7,92.0,92.6,0.1,92.30,1,92.60,2,12.06,0.0
1402,遠東新,4802867,3564,176337323,37.15,37.15,36.35,36.8,-0.3,36.75,3,36.80,95,20.67,-0.01
1409,新纖,14391513,4497,236050122,16.7,16.85,16.1,16.45,-0.5,16.45,116,16.50,133,20.06,-0.03
1410,南染,45000,23,1695800,37.3,38.0,37.3,37.9,0.0,37.70,1,37.90,1,102.43,0.0
1413,宏洲,74298,51,706923,9.41,9.56,9.41,9.55,0.14,9.55,3,9.59,4,0.0,0.01
1414,東和,817740,474,17966114,22.0,22.25,21.8,21.95,-0.05,21.85,6,21.95,8,81.3,-0.0
1416,廣豐,1006069,477,12714663,12.7,12.8,12.5,12.65,-0.05,12.60,13,12.65,8,13.46,-0.0
1417,嘉裕,214391,364,2367500,11.1,11.1,10.95,11.1,-0.25,10.95,20,11.10,6,0.0,-0.02
1418,東華,71122,58,2415580,34.5,34.5,33.4,33.55,-0.6,33.50,2,33.90,1,55.0,-0.02
1419,新紡,84001,60,4070598,48.25,48.5,48.25,48.5,0.05,48.35,1,48.50,6,20.91,0.0
1423,利華,45094,689,1995191,44.45,44.45,44.1,44.45,0.2,44.35,2,44.45,8,62.61,0.0
1432,大魯閣,109100,170,1939119,18.0,18.0,17.65,17.9,-0.2,17.75,8,17.90,9,77.83,-0.01
1434,福懋,608551,597,13046044,21.45,21.6,21.3,21.6,0.2,21.55,5,21.60,22,113.68,0.01
1435,中福,4271,65,201019,46.55,48.0,46.55,47.0,-1.25,48.20,4,48.95,7,0.0,-0.03
1436,華友聯,1117383,1028,188770792,174.5,174.5,163.5,171.0,-4.5,171.00,9,172.00,4,11.12,-0.03
1437,勤益控,94499,159,3387310,35.6,36.05,35.55,36.05,0.4,35.90,3,36.05,1,10.48,0.01
1438,三地開發,793465,813,65316944,83.7,84.8,79.4,83.6,-1.5,83.50,1,83.60,2,0.0,-0.02
1439,雋揚,104372,91,3525756,33.5,34.5,33.2,34.5,1.0,34.00,3,34.50,6,21.97,0.03
1440,南紡,1101965,676,18023257,16.5,16.55,16.2,16.3,-0.05,16.25,27,16.30,161,10.87,-0.0
1441,大東,130561,234,2249380,17.4,17.5,17.0,17.15,-0.4,17.00,9,17.20,3,190.56,-0.02
1442,名軒,2305555,1707,152119567,66.3,67.0,65.2,65.6,-1.7,65.50,5,65.60,14,8.29,-0.03
1443,立益物流,818676,436,28669537,32.15,35.5,32.15,35.5,3.2,35.50,32,--,0,17.84,0.1
1444,力麗,1091607,510,10342347,9.5,9.52,9.43,9.48,0.07,9.45,7,9.48,6,45.14,0.01
1445,大宇,239673,185,4370696,17.9,18.45,17.9,18.45,0.35,18.35,2,18.45,13,2.45,0.02
1446,宏和,1658829,1126,80033219,48.95,49.1,47.0,48.4,-1.1,48.35,1,48.40,7,9.45,-0.02
1447,力鵬,1853306,851,16854780,9.12,9.16,9.05,9.1,0.0,9.10,52,9.11,6,0.0,0.0
1449,佳和,2003308,1061,40097317,20.3,20.3,19.6,19.8,-0.3,19.80,39,19.85,11,17.22,-0.01
1451,年興,124582,118,2486465,20.15,20.15,19.85,20.05,-0.05,19.95,2,20.05,6,0.0,-0.0
1452,宏益,221055,97,3736898,16.85,16.95,16.85,16.95,0.1,16.85,35,16.95,17,21.73,0.01
1453,大將,352972,308,7903125,22.65,22.7,22.1,22.5,-0.25,22.50,11,22.55,1,31.25,-0.01
1454,台富,636670,226,12278637,19.4,19.75,19.1,19.15,-0.2,19.15,1,19.20,1,73.65,-0.01
1455,集盛,411130,289,4705356,11.45,11.55,11.35,11.4,-0.05,11.40,95,11.45,3,71.25,-0.0
1456,怡華,315623,222,7157077,23.15,23.15,22.3,22.8,-0.25,22.75,6,22.80,14,0.0,-0.01
1457,宜進,322711,164,6778024,20.95,21.15,20.75,21.15,0.25,21.05,1,21.15,15,7.27,0.01
1459,聯發,80960,69,847685,10.45,10.55,10.35,10.55,0.1,10.35,11,10.55,2,31.03,0.01
1460,宏遠,584362,177,4224992,7.25,7.28,7.19,7.23,-0.01,7.23,7,7.24,3,0.0,-0.0
1463,強盛,302482,169,7921220,25.95,26.45,25.95,26.3,0.1,26.20,4,26.35,20,51.57,0.0
1464,得力,270547,207,3646343,13.6,13.6,13.35,13.5,0.05,13.40,10,13.50,4,27.55,0.0
1465,偉全,204137,115,3052547,14.9,15.1,14.85,15.1,0.15,14.95,5,15.10,17,20.13,0.01
1466,聚隆,147341,89,1792019,12.35,12.35,12.0,12.25,-0.05,12.15,2,12.25,1,0.0,-0.0
1467,南緯,212902,205,2249426,10.55,10.6,10.5,10.6,0.0,10.55,1,10.60,19,53.0,0.0
1468,昶和,44002,35,643728,14.55,14.75,14.5,14.7,0.05,14.50,2,14.70,9,19.34,0.0
1470,大統新創,419854,259,9955407,21.8,23.9,21.8,23.9,2.15,23.90,41,--,0,34.14,0.1
1471,首利,392475,248,5549987,14.75,14.75,13.9,13.95,0.1,13.95,15,14.00,1,697.5,0.01
1472,三洋實業,27142,30,1539368,56.7,57.0,56.3,57.0,0.5,56.60,1,57.00,9,14.18,0.01
1473,台南,547998,557,20270939,37.15,37.75,36.5,36.55,-0.45,36.50,15,36.60,5,11.28,-0.01
1474,弘裕,292200,204,3714019,12.75,12.8,12.65,12.7,0.0,12.65,54,12.70,14,16.28,0.0
1475,業旺,90426,77,5585186,61.2,62.1,61.2,61.4,-0.1,61.40,2,61.50,2,10.41,-0.0
1476,儒鴻,1253789,1313,665819921,524.0,538.0,521.0,534.0,17.0,534.00,2,535.00,17,23.96,0.03
1477,聚陽,1250091,1294,491556703,383.0,398.0,383.0,390.5,4.0,390.50,3,391.00,3,22.4,0.01
1503,士電,7525983,10515,1717515963,223.0,235.5,221.5,226.5,4.0,226.00,94,226.50,4,41.48,0.02
1504,東元,5054167,3362,243963715,47.95,48.75,47.65,48.35,0.15,48.10,13,48.35,5,20.93,0.0
1506,正道,167794,100,2567660,15.35,15.45,15.25,15.45,0.05,15.20,36,15.45,11,77.25,0.0
